n = 29;

p = 
	[
		[ 6 2 7 4 1 1 6 1 6 3 1 0 5 1 2 4 1 2 5 1 4 0 4 3 3 6 3 0 18 ]
		[ 2 1 2 3 1 3 0 5 5 2 7 4 3 7 6 1 1 3 1 2 5 5 2 1 4 0 6 2 16 ]
		[ 2 3 4 1 4 5 6 0 6 1 1 1 5 3 4 3 1 6 1 6 0 4 5 5 1 1 1 2 18 ]
		[ 3 1 4 3 0 5 5 2 2 5 3 1 0 2 1 5 3 1 5 3 2 2 4 4 0 5 0 5 24 ]
		[ 4 4 1 2 0 5 5 0 0 5 1 3 4 3 3 6 5 5 0 5 2 4 4 3 1 1 4 2 18 ]
		[ 0 2 4 3 6 0 3 2 3 1 5 3 3 1 6 3 5 3 3 4 0 6 1 6 4 2 3 2 16 ]
		[ 4 5 2 5 4 1 2 0 4 5 5 2 6 2 4 1 3 3 1 5 5 2 0 2 3 2 4 4 14 ]
		[ 5 7 6 4 0 7 4 0 0 0 1 2 4 7 0 5 1 0 1 6 3 5 0 5 3 4 3 0 17 ]
		[ 2 0 3 3 3 4 0 4 3 4 3 2 1 4 5 4 6 5 4 4 5 5 1 0 1 4 5 2 13 ]
		[ 3 2 5 2 6 3 0 0 1 4 3 3 5 4 2 2 6 3 3 1 4 4 0 5 1 5 3 2 18 ]
		[ 7 5 3 5 1 0 3 3 3 0 5 4 3 0 0 4 0 2 7 1 0 0 1 6 5 6 4 3 19 ]
		[ 4 4 2 5 2 4 2 4 3 4 1 5 4 2 0 4 0 3 3 2 3 1 3 4 4 3 3 4 17 ]
		[ 3 4 4 5 4 4 4 1 4 5 4 3 0 5 5 2 1 0 2 0 4 0 3 1 4 3 3 3 19 ]
		[ 4 5 1 6 6 1 4 2 4 0 1 0 1 1 6 0 4 3 6 5 4 0 1 5 3 5 7 1 14 ]
		[ 3 0 2 0 3 5 2 6 0 2 6 2 4 0 2 3 0 6 1 5 3 3 6 5 3 6 1 2 19 ]
		[ 0 0 6 1 1 4 5 6 4 3 1 5 4 2 4 2 4 0 4 2 3 2 1 4 4 0 5 5 18 ]
		[ 2 5 3 5 0 3 1 4 4 5 1 2 5 0 6 0 5 0 4 5 4 4 2 4 4 2 0 1 19 ]
		[ 3 1 1 1 0 1 5 1 4 6 4 5 3 4 3 0 2 3 2 6 0 5 0 4 5 4 4 5 18 ]
		[ 4 4 6 6 1 3 0 3 3 4 1 0 5 4 0 3 4 4 2 1 1 0 5 5 2 5 0 3 21 ]
		[ 5 4 0 7 4 3 0 2 6 5 0 0 5 6 0 3 7 2 4 0 5 0 0 3 0 5 0 7 17 ]
		[ 0 5 4 5 4 5 1 3 3 4 0 3 0 6 2 2 3 0 4 0 3 5 2 6 3 3 1 5 18 ]
		[ 5 1 4 5 3 0 2 4 6 1 3 2 2 2 1 0 1 6 3 5 4 4 3 1 5 4 2 3 18 ]
		[ 6 2 5 3 2 6 0 2 6 3 5 0 3 0 0 3 0 2 0 5 4 5 1 1 4 6 3 1 22 ]
		[ 5 2 2 1 1 4 3 2 2 6 5 5 4 6 3 1 0 4 1 4 3 1 2 3 3 0 5 4 18 ]
		[ 3 1 3 4 6 3 6 2 3 4 2 5 6 5 5 0 5 2 1 1 6 0 1 1 3 3 3 3 13 ]
		[ 6 2 3 0 4 4 0 5 4 5 2 5 5 1 5 5 4 4 0 0 4 5 1 4 1 0 1 4 16 ]
		[ 7 5 3 5 1 6 2 5 1 6 0 0 0 4 3 7 1 3 2 6 0 0 3 0 3 1 5 6 15 ]
		[ 6 5 5 1 3 2 1 1 3 5 3 3 4 0 5 3 3 3 1 1 5 4 0 5 3 1 0 4 20 ]
		[ 2 2 0 1 2 0 0 5 5 5 1 0 4 6 4 3 3 5 0 2 5 5 5 3 3 4 6 5 14 ]
	];
